,ImageName,Labels
0,SynthImageDataset/2424/7/179_CARAFES_11435.jpg,CARAFES
1,SynthImageDataset/2424/7/178_alsace_2243.jpg,ALSACE
2,SynthImageDataset/2424/7/177_Runarounds_67087.jpg,RUNAROUNDS
3,SynthImageDataset/2424/7/176_HABITABILITY_34434.jpg,HABITABILITY
4,SynthImageDataset/2424/7/175_REORIENT_64709.jpg,REORIENT
5,SynthImageDataset/2424/7/174_Leaders_43738.jpg,LEADERS
6,SynthImageDataset/2424/7/173_stability_74046.jpg,STABILITY
7,SynthImageDataset/2424/7/172_Backlogged_5362.jpg,BACKLOGGED
8,SynthImageDataset/2424/7/171_reasoned_62899.jpg,REASONED
9,SynthImageDataset/2424/7/170_OUTSTANDING_54218.jpg,OUTSTANDING
10,SynthImageDataset/2424/7/169_Sycophants_76918.jpg,SYCOPHANTS
11,SynthImageDataset/2424/7/168_bullock_10148.jpg,BULLOCK
12,SynthImageDataset/2424/7/167_EGGPLANT_24785.jpg,EGGPLANT
13,SynthImageDataset/2424/7/166_Dressier_23764.jpg,DRESSIER
14,SynthImageDataset/2424/7/165_BIORHYTHMS_7600.jpg,BIORHYTHMS
15,SynthImageDataset/2424/7/164_Promote_60526.jpg,PROMOTE
16,SynthImageDataset/2424/7/163_Shinbone_70218.jpg,SHINBONE
17,SynthImageDataset/2424/7/162_butted_10512.jpg,BUTTED
18,SynthImageDataset/2424/7/161_sagebrush_67368.jpg,SAGEBRUSH
19,SynthImageDataset/2424/7/160_curbing_18678.jpg,CURBING
20,SynthImageDataset/2424/7/159_Debunk_19598.jpg,DEBUNK
21,SynthImageDataset/2424/7/158_Butcher_10500.jpg,BUTCHER
22,SynthImageDataset/2424/7/157_Betokened_7229.jpg,BETOKENED
23,SynthImageDataset/2424/7/156_spacecrafts_73007.jpg,SPACECRAFTS
24,SynthImageDataset/2424/7/155_EVACUATING_26801.jpg,EVACUATING
25,SynthImageDataset/2424/7/154_WOODBLOCKS_87080.jpg,WOODBLOCKS
26,SynthImageDataset/2424/7/152_Threadiest_78788.jpg,THREADIEST
27,SynthImageDataset/2424/7/150_Pennies_56440.jpg,PENNIES
28,SynthImageDataset/2424/7/149_Periodontal_56689.jpg,PERIODONTAL
29,SynthImageDataset/2424/7/148_LOWING_45434.jpg,LOWING
30,SynthImageDataset/2424/7/147_flavoring_29456.jpg,FLAVORING
31,SynthImageDataset/2424/7/146_REJOINING_64288.jpg,REJOINING
32,SynthImageDataset/2424/7/145_Romney_66567.jpg,ROMNEY
33,SynthImageDataset/2424/7/144_Searchers_68931.jpg,SEARCHERS
34,SynthImageDataset/2424/7/143_nasturtium_50949.jpg,NASTURTIUM
35,SynthImageDataset/2424/7/142_ABSURDLY_484.jpg,ABSURDLY
36,SynthImageDataset/2424/7/141_Shortlists_70452.jpg,SHORTLISTS
37,SynthImageDataset/2424/7/140_climatically_14165.jpg,CLIMATICALLY
38,SynthImageDataset/2424/7/139_Erring_26438.jpg,ERRING
39,SynthImageDataset/2424/7/138_redeemer_63495.jpg,REDEEMER
40,SynthImageDataset/2424/7/137_eradicating_26341.jpg,ERADICATING
41,SynthImageDataset/2424/7/135_ACROPHOBIA_849.jpg,ACROPHOBIA
42,SynthImageDataset/2424/7/134_Airlock_1770.jpg,AIRLOCK
43,SynthImageDataset/2424/7/133_taped_77501.jpg,TAPED
44,SynthImageDataset/2424/7/132_DIMINUTION_21705.jpg,DIMINUTION
45,SynthImageDataset/2424/7/131_GRAPNEL_33480.jpg,GRAPNEL
46,SynthImageDataset/2424/7/130_ONTOLOGY_53423.jpg,ONTOLOGY
47,SynthImageDataset/2424/7/128_skyjack_71413.jpg,SKYJACK
48,SynthImageDataset/2424/7/127_viol_84710.jpg,VIOL
49,SynthImageDataset/2424/7/125_Rooters_66631.jpg,ROOTERS
50,SynthImageDataset/2424/7/124_SIOUX_71126.jpg,SIOUX
51,SynthImageDataset/2424/7/123_PATISSERIES_55925.jpg,PATISSERIES
