ImageName,Height,Width
SynthImageDataset/2424/7/179_CARAFES_11435.jpg,31,103
SynthImageDataset/2424/7/178_alsace_2243.jpg,31,108
SynthImageDataset/2424/7/177_Runarounds_67087.jpg,31,179
SynthImageDataset/2424/7/176_HABITABILITY_34434.jpg,31,184
SynthImageDataset/2424/7/175_REORIENT_64709.jpg,31,109
SynthImageDataset/2424/7/174_Leaders_43738.jpg,31,108
SynthImageDataset/2424/7/173_stability_74046.jpg,31,112
SynthImageDataset/2424/7/172_Backlogged_5362.jpg,31,145
SynthImageDataset/2424/7/171_reasoned_62899.jpg,32,141
SynthImageDataset/2424/7/170_OUTSTANDING_54218.jpg,31,191
SynthImageDataset/2424/7/169_Sycophants_76918.jpg,31,81
SynthImageDataset/2424/7/168_bullock_10148.jpg,31,95
SynthImageDataset/2424/7/167_EGGPLANT_24785.jpg,31,133
SynthImageDataset/2424/7/166_Dressier_23764.jpg,31,60
SynthImageDataset/2424/7/165_BIORHYTHMS_7600.jpg,31,212
SynthImageDataset/2424/7/164_Promote_60526.jpg,31,65
SynthImageDataset/2424/7/163_Shinbone_70218.jpg,31,145
SynthImageDataset/2424/7/162_butted_10512.jpg,31,119
SynthImageDataset/2424/7/161_sagebrush_67368.jpg,31,106
SynthImageDataset/2424/7/160_curbing_18678.jpg,31,74
SynthImageDataset/2424/7/159_Debunk_19598.jpg,32,124
SynthImageDataset/2424/7/158_Butcher_10500.jpg,31,171
SynthImageDataset/2424/7/157_Betokened_7229.jpg,31,150
SynthImageDataset/2424/7/156_spacecrafts_73007.jpg,31,135
SynthImageDataset/2424/7/155_EVACUATING_26801.jpg,31,134
SynthImageDataset/2424/7/154_WOODBLOCKS_87080.jpg,31,153
SynthImageDataset/2424/7/152_Threadiest_78788.jpg,32,78
SynthImageDataset/2424/7/150_Pennies_56440.jpg,31,110
SynthImageDataset/2424/7/149_Periodontal_56689.jpg,31,145
SynthImageDataset/2424/7/148_LOWING_45434.jpg,31,87
SynthImageDataset/2424/7/147_flavoring_29456.jpg,31,107
SynthImageDataset/2424/7/146_REJOINING_64288.jpg,31,83
SynthImageDataset/2424/7/145_Romney_66567.jpg,31,76
SynthImageDataset/2424/7/144_Searchers_68931.jpg,31,94
SynthImageDataset/2424/7/143_nasturtium_50949.jpg,31,131
SynthImageDataset/2424/7/142_ABSURDLY_484.jpg,31,107
SynthImageDataset/2424/7/141_Shortlists_70452.jpg,31,135
SynthImageDataset/2424/7/140_climatically_14165.jpg,31,118
SynthImageDataset/2424/7/139_Erring_26438.jpg,31,72
SynthImageDataset/2424/7/138_redeemer_63495.jpg,31,91
SynthImageDataset/2424/7/137_eradicating_26341.jpg,31,243
SynthImageDataset/2424/7/135_ACROPHOBIA_849.jpg,31,234
SynthImageDataset/2424/7/134_Airlock_1770.jpg,31,83
SynthImageDataset/2424/7/133_taped_77501.jpg,31,84
SynthImageDataset/2424/7/132_DIMINUTION_21705.jpg,31,146
SynthImageDataset/2424/7/131_GRAPNEL_33480.jpg,32,88
SynthImageDataset/2424/7/130_ONTOLOGY_53423.jpg,32,208
SynthImageDataset/2424/7/128_skyjack_71413.jpg,31,92
SynthImageDataset/2424/7/127_viol_84710.jpg,31,58
SynthImageDataset/2424/7/125_Rooters_66631.jpg,31,89
SynthImageDataset/2424/7/124_SIOUX_71126.jpg,31,71
SynthImageDataset/2424/7/123_PATISSERIES_55925.jpg,31,124
SynthImageDataset/2424/7/122_FOLDOUTS_29950.jpg,31,137
SynthImageDataset/2424/7/121_Podiatry_58462.jpg,31,106
SynthImageDataset/2424/7/120_MAGNIFIED_46035.jpg,31,170
SynthImageDataset/2424/7/119_schoolbags_68339.jpg,31,159
SynthImageDataset/2424/7/118_ftrtft_31137.jpg,31,76
SynthImageDataset/2424/7/117_UNDERPASS_82181.jpg,31,286
SynthImageDataset/2424/7/116_CELIBATE_12290.jpg,31,138
SynthImageDataset/2424/7/114_monumental_49694.jpg,32,155
SynthImageDataset/2424/7/113_Marketplace_46798.jpg,31,146
SynthImageDataset/2424/7/112_SUBSIDY_75696.jpg,31,64
SynthImageDataset/2424/7/111_WEAKEST_85769.jpg,31,154
SynthImageDataset/2424/7/109_penknives_56428.jpg,31,162
SynthImageDataset/2424/7/108_arabist_3717.jpg,31,107
SynthImageDataset/2424/7/107_Cravats_17855.jpg,31,146
SynthImageDataset/2424/7/106_antics_3172.jpg,31,99
SynthImageDataset/2424/7/105_Sprinkler_73790.jpg,32,128
SynthImageDataset/2424/7/104_remarking_64465.jpg,31,175
SynthImageDataset/2424/7/103_OFTTIMES_53182.jpg,31,138
SynthImageDataset/2424/7/102_foreigners_30197.jpg,32,96
SynthImageDataset/2424/7/101_midlands_48295.jpg,31,135
SynthImageDataset/2424/7/99_Emotively_25425.jpg,31,108
SynthImageDataset/2424/7/98_pascals_55753.jpg,31,78
SynthImageDataset/2424/7/97_INSTANTER_39902.jpg,32,112
SynthImageDataset/2424/7/96_RACEWAYS_62044.jpg,31,122
SynthImageDataset/2424/7/95_ABJECT_277.jpg,31,75
SynthImageDataset/2424/7/94_DELUSIONS_20371.jpg,31,155
SynthImageDataset/2424/7/93_COMMONEST_15276.jpg,31,161
SynthImageDataset/2424/7/91_CONTRIVANCE_16656.jpg,32,128
SynthImageDataset/2424/7/90_bodged_8454.jpg,31,76
SynthImageDataset/2424/7/89_Plenitudes_58237.jpg,31,151
SynthImageDataset/2424/7/88_ROOST_66622.jpg,31,103
SynthImageDataset/2424/7/87_Banknote_5798.jpg,31,115
SynthImageDataset/2424/7/86_UNBAKED_81767.jpg,32,90
SynthImageDataset/2424/7/85_SPUMIER_73834.jpg,31,133
SynthImageDataset/2424/7/84_SQUEAKIEST_73945.jpg,31,190
SynthImageDataset/2424/7/82_Karyn_42157.jpg,31,82
SynthImageDataset/2424/7/81_Nexus_51529.jpg,31,77
SynthImageDataset/2424/7/80_vistula_84834.jpg,31,89
SynthImageDataset/2424/7/79_HANDPICKS_34817.jpg,31,134
SynthImageDataset/2424/7/78_Belletristic_6852.jpg,31,136
SynthImageDataset/2424/7/77_Bruise_9843.jpg,31,72
SynthImageDataset/2424/7/76_Chowed_13481.jpg,31,97
SynthImageDataset/2424/7/75_Fingers_28999.jpg,31,100
SynthImageDataset/2424/7/74_goofier_33136.jpg,31,82
SynthImageDataset/2424/7/73_PORTHOLE_58979.jpg,31,141
SynthImageDataset/2424/7/72_orangeness_53611.jpg,31,137
SynthImageDataset/2424/7/71_NONMETALLIC_52057.jpg,31,197
SynthImageDataset/2424/7/70_ENCLOSED_25582.jpg,31,99
SynthImageDataset/2424/7/69_substantiate_75711.jpg,31,127
SynthImageDataset/2424/7/68_OPPRESSING_53544.jpg,31,139
SynthImageDataset/2424/7/66_gawd_31946.jpg,31,88
SynthImageDataset/2424/7/65_whispered_86324.jpg,31,111
SynthImageDataset/2424/7/64_owned_54841.jpg,31,70
SynthImageDataset/2424/7/63_ELLIPSIS_25111.jpg,31,101
SynthImageDataset/2424/7/62_tromped_80815.jpg,31,108
SynthImageDataset/2424/7/61_TRANSFERS_80196.jpg,31,184
SynthImageDataset/2424/7/60_stamen_74181.jpg,31,107
SynthImageDataset/2424/7/59_Specializing_73195.jpg,31,114
SynthImageDataset/2424/7/58_MEIJI_47599.jpg,31,51
SynthImageDataset/2424/7/57_Caches_10687.jpg,31,99
SynthImageDataset/2424/7/56_vacation_83822.jpg,31,129
SynthImageDataset/2424/7/55_banknote_5798.jpg,31,140
SynthImageDataset/2424/7/54_PRIESTHOOD_60057.jpg,31,145
SynthImageDataset/2424/7/53_Stumptown_75414.jpg,31,115
SynthImageDataset/2424/7/52_GAUGUIN_31920.jpg,31,105
SynthImageDataset/2424/7/51_RECAPTURED_63055.jpg,31,212
SynthImageDataset/2424/7/50_ALLEN_2091.jpg,31,67
SynthImageDataset/2424/7/49_INQUIRER_39714.jpg,31,139
SynthImageDataset/2424/7/48_fellowships_28507.jpg,31,132
SynthImageDataset/2424/7/47_hairpieces_34557.jpg,31,102
SynthImageDataset/2424/7/46_Sparest_73091.jpg,31,152
SynthImageDataset/2424/7/45_Sadness_67328.jpg,32,127
SynthImageDataset/2424/7/44_HEPBURN_35817.jpg,31,203
SynthImageDataset/2424/7/43_LOCALIZE_44995.jpg,31,112
SynthImageDataset/2424/7/42_Weepies_85928.jpg,31,99
SynthImageDataset/2424/7/41_SHOUTER_70480.jpg,31,137
SynthImageDataset/2424/7/40_COTILLIONS_17334.jpg,31,151
SynthImageDataset/2424/7/38_APPLETS_3529.jpg,31,128
SynthImageDataset/2424/7/37_LACERATE_43035.jpg,31,121
SynthImageDataset/2424/7/36_July_41941.jpg,31,65
SynthImageDataset/2424/7/35_Uxorious_83805.jpg,31,133
SynthImageDataset/2424/7/34_Sassy_67844.jpg,31,64
SynthImageDataset/2424/7/33_tipsiness_79281.jpg,31,102
SynthImageDataset/2424/7/32_Cobblestone_14548.jpg,31,97
SynthImageDataset/2424/7/31_Bewared_7282.jpg,31,118
SynthImageDataset/2424/7/30_mercers_47833.jpg,31,114
SynthImageDataset/2424/7/29_TEEING_77895.jpg,32,106
SynthImageDataset/2424/7/28_BREMEN_9443.jpg,31,86
SynthImageDataset/2424/7/27_wearers_85795.jpg,31,101
SynthImageDataset/2424/7/26_Hollered_36503.jpg,31,87
SynthImageDataset/2424/7/25_Sullenness_76001.jpg,31,151
SynthImageDataset/2424/7/24_maxwell_47267.jpg,32,122
SynthImageDataset/2424/7/23_barrymore_6090.jpg,31,101
SynthImageDataset/2424/7/22_Unlikelier_82813.jpg,31,116
SynthImageDataset/2424/7/21_formulaic_30389.jpg,31,131
SynthImageDataset/2424/7/20_MULTISTAGE_50369.jpg,31,110
SynthImageDataset/2424/7/19_timpano_79183.jpg,31,95
SynthImageDataset/2424/7/18_SPONGES_73624.jpg,31,124
SynthImageDataset/2424/7/17_clucks_14394.jpg,31,118
SynthImageDataset/2424/7/16_BRISTLIER_9630.jpg,32,173
SynthImageDataset/2424/7/15_mongol_49522.jpg,31,70
